month,day,hour,AirTemp,DewPoint,WindDir,WindSpd,SkyCond,Precip1Hr
1,1,0,5.0,-3.3333333333333335,270.0,2.733333333333334,2.6666666666666665,
1,1,1,1.511111111111111,-4.011111111111111,177.77777777777777,3.888888888888889,2.2857142857142856,
1,1,2,0.9777777777777779,-3.2333333333333334,178.88888888888889,3.6555555555555563,2.2857142857142856,
1,1,3,0.4555555555555557,-3.988888888888889,151.11111111111111,3.477777777777778,0.8,
1,1,4,0.9800000000000001,-3.35,203.0,4.42,1.6,0.2
1,1,5,0.72,-3.62,173.0,3.6100000000000003,2.6666666666666665,
1,1,6,0.2444444444444446,-4.577777777777778,194.44444444444446,4.222222222222222,1.1428571428571428,
1,1,7,0.12222222222222223,-4.833333333333333,161.11111111111111,3.888888888888889,1.1428571428571428,
1,1,8,0.31999999999999995,-4.04,227.0,4.16,1.7142857142857142,
1,1,9,-0.039999999999999855,-4.25,175.0,3.6,2.0,0.3
1,1,10,-0.5111111111111111,-4.855555555555556,200.0,3.1,1.3333333333333333,0.3
1,1,11,-0.9777777777777779,-4.533333333333334,197.77777777777777,3.377777777777778,2.0,
1,1,12,-0.9666666666666668,-4.044444444444445,195.55555555555554,4.511111111111111,0.6666666666666666,
1,1,13,-0.6799999999999999,-3.5799999999999996,202.0,5.040000000000001,2.142857142857143,
1,1,14,-0.050000000000000176,-3.2099999999999995,204.0,4.790000000000001,2.375,
1,1,15,1.01,-2.8300000000000005,200.0,4.930000000000001,2.2222222222222223,
1,1,16,3.5799999999999996,-2.2400000000000007,249.0,5.48,2.0,
1,1,17,4.98,-2.51,247.0,5.36,1.3333333333333333,
1,1,18,5.2555555555555555,-2.7111111111111112,222.22222222222223,5.144444444444445,1.0,
1,1,19,4.340000000000001,-2.71,272.0,6.24,2.375,
1,1,20,4.37,-2.73,252.0,4.54,2.5555555555555554,0.3
1,1,21,4.2444444444444445,-2.7111111111111112,230.0,4.7444444444444445,1.875,
1,1,22,2.88,-3.28,217.0,5.1000000000000005,2.25,0.3
1,1,23,2.6333333333333337,-2.5777777777777775,211.11111111111111,3.8333333333333335,1.5714285714285714,
1,2,0,1.966666666666667,-2.266666666666667,202.22222222222223,4.0,1.5714285714285714,
1,2,1,0.9200000000000002,-2.7399999999999998,189.0,4.74,3.375,
1,2,2,0.3000000000000001,-3.14,215.0,5.140000000000001,3.7777777777777777,
1,2,3,-0.32999999999999996,-3.55,192.0,5.090000000000001,3.875,
1,2,4,-0.68,-3.8200000000000003,173.0,4.840000000000001,3.875,
1,2,5,-0.46666666666666656,-3.177777777777778,164.44444444444446,4.122222222222223,2.875,
1,2,6,-0.711111111111111,-3.4333333333333336,163.33333333333334,3.8333333333333335,2.7142857142857144,
1,2,7,-1.72,-4.7,176.0,5.66,3.2857142857142856,
1,2,8,-1.94,-5.0,179.0,5.98,3.0,
1,2,9,-1.3888888888888888,-4.566666666666666,164.44444444444446,5.5,3.3333333333333335,0.8
1,2,10,-2.37,-5.5200000000000005,177.0,5.36,2.2222222222222223,2.0
1,2,11,-1.7333333333333334,-4.433333333333334,161.11111111111111,3.888888888888889,0.5,1.8
1,2,12,-2.4000000000000004,-5.14,173.0,4.99,2.6666666666666665,1.0
1,2,13,-2.48,-5.3,172.0,4.630000000000001,2.5,2.0
1,2,14,-1.72,-4.930000000000001,171.0,5.2,4.125,1.8
1,2,15,-0.6899999999999998,-4.62,183.0,5.25,3.1666666666666665,3.0
1,2,16,0.4400000000000001,-4.39,179.0,4.16,3.1666666666666665,0.3
